DesignID,lambda,lambda_eff,Dcrit,Acrit,Gcrit
SCCD_k8_nc5_rf2_ra2,1e-7,1.1602222222222223e-5,6.063767384083195,689523.672432256,1611459.980281778
SCCD_k9_nc5_rf2_ra2,1e-7,1.2365454545454545e-5,1.5368625338025665,1213057.4633735677,2154671.1614427404
SCCD_k10_nc5_rf2_ra2,1e-7,1.3134848484848487e-5,0.4150761069682736,1827200.8676657388,2525668.847230087
FCCD_k3_nc7_rf2_ra2,1e-7,2.03e-6,14.164336866620618,0.9778222544580616,1.6222691463444072
FCCD_k4_nc7_rf2_ra2,1e-7,3.5666666666666663e-6,22.83676576185832,1.1386874562425893,2.976037920177355
FCCD_k5_nc7_rf2_ra2,1e-7,6.719047619047619e-6,39.102599468724364,1.2949882412722986,4.435532852690948
FCCD_k6_nc7_rf2_ra2,1e-7,6.682142857142857e-6,40.66393101040561,1.625591920326675,6.644645976348712
FCCD_k7_nc7_rf2_ra2,1e-7,6.652777777777777e-6,11.67107208993125,450941.361674329,2137145.5958934193
FCCD_k8_nc7_rf2_ra2,1e-7,6.628888888888889e-6,2.7912949623985113,1206840.9147724584,3326913.859465883
FCCD_k9_nc7_rf2_ra2,1e-7,6.609090909090909e-6,0.659752519014308,2269603.4932520897,3986978.3780765524
FCCD_k10_nc7_rf2_ra2,1e-7,6.592424242424242e-6,0.16556675794028544,3640544.9878957015,5184658.18653036
RCCD_k3_nc7_rf2_ra2,1e-7,3.089411254969543e-6,23.34236912847846,0.5645033690496516,0.3348367109296671
RCCD_k4_nc7_rf2_ra2,1e-7,5.486666666666666e-6,41.704893228902456,0.5014878723983326,0.29165974139225115
RCCD_k5_nc7_rf2_ra2,1e-7,1.0114938499951655e-5,77.62749819980354,0.4112454881197922,0.22526197290756392
RCCD_k6_nc7_rf2_ra2,1e-7,1.268214285714286e-5,90.36649112333284,0.4499452169699705,0.29799794718525563
RCCD_k7_nc7_rf2_ra2,1e-7,1.7332732883254368e-5,31.052981389976228,173083.34468714998,751490.7194131346
RCCD_k8_nc7_rf2_ra2,1e-7,2.5828888888888887e-5,9.533850947215976,309731.0912346595,809246.9919941999
RCCD_k9_nc7_rf2_ra2,1e-7,4.147197638532163e-5,3.1517979956945186,361690.34703959245,592804.0457721347
RCCD_k10_nc7_rf2_ra2,1e-7,7.047121212121214e-5,1.2133018608438668,340564.8421344911,485055.0930521238
SCCD_k3_nc7_rf2_ra2,1e-7,3.2299999999999996e-6,24.186983841806924,0.5525791885755196,0.32774549859488794
SCCD_k4_nc7_rf2_ra2,1e-7,5.486666666666666e-6,41.704893228902456,0.5014878723983326,0.2916107237686014
SCCD_k5_nc7_rf2_ra2,1e-7,9.385714285714285e-6,73.17442150131774,0.4295830228590351,0.27040260460990595
SCCD_k6_nc7_rf2_ra2,1e-7,1.0110714285714286e-5,78.90639905639117,0.505839317365608,0.3124245190842909
SCCD_k7_nc7_rf2_ra2,1e-7,1.0852777777777778e-5,23.98064332933685,276427.45556225866,1248374.894519117
SCCD_k8_nc7_rf2_ra2,1e-7,1.1606666666666668e-5,6.109692959374652,689259.5747360649,1686825.8336781897
SCCD_k9_nc7_rf2_ra2,1e-7,1.2369090909090908e-5,1.5464173610098022,1212700.7761893484,2237595.2904942157
